,id1,id2
0,N1,N2
1,N1,N4
2,N3,N5
3,N4,N5
4,N4,N6
5,N6,N7
6,N7,N8
7,N10,N8
8,N10,N9
9,N11,N9
10,N11,N14
11,N12,N16
12,N12,N17
13,N13,N14
14,N14,N15
15,N14,N16
16,N16,N18
17,N18,N21
18,N19,N21
19,N19,N22
20,N20,N21
21,N21,N23
22,N22,N24
23,N24,N25
24,N26,N27
25,N27,N29
26,N28,N29
27,N28,N33
28,N29,N30
29,N30,N31
30,N31,N32
31,N32,N39
32,N34,N36
33,N34,N37
34,N35,N36
35,N37,N38
36,N38,N40
37,N39,N40
38,N40,N42
39,N41,N42
40,N42,N44
41,N43,N44
42,N43,N45
43,N44,N46
44,N46,N47
45,N47,N48
46,N48,N49
47,N48,N50
